5	1005	CCW: Catalogue of Craneflies of the World	CCW	Craneflies	Oosterbroek P. 	Entomology Section, Zoological Museum, University of Amsterdam / ETI BioInformatics, The  Netherlands	P Oosterbroek	Jul 2013	2013-07-17	The Catalogue of the Craneflies of the World (CCW) covers all genera, subgenera, species, subspecies, and synonyms of the World Tipuloidea (Insecta – Diptera – Nematocera – families Pediciidae, Limoniidae, Cylindrotomidae, Tipulidae), in total 17,307 taxa. It also includes up to date information on the distribution of the species and subspecies, specified by countries and, for the larger countries, states, provinces, islands.	Global
6	1006	CIPA: Computer Aided Identification of Phlebotomine sandflies of Americas	CIPA	Phlebotomine sandflies	Vignes-Lebbe R. & Gallut C.	Université Pierre et Marie Curie, Paris, France	R Vignes-Lebbe & C Gallut	3, Mar 2011	2011-03-16	CIPA includes information on 418 neotropical sandfly (Phlebotominae) species. These blood-sucking insects are important as vectors transmitting human and animal diseases, e.g. leishmaniasis, bartonellosis, arboviruses. In addition to the data contributed to the Catalogue of Life, CIPA also provides an interactive key and data on the ecology and epidemiology of the group. CIPA is an international project involving experts from 9 countries and was supported by the Program for Science & Technology Cooperation, Office of the Science Advisor, USA; Agency for International Development, and the Scientific & Technical Cooperation, Ministry of Foreign Affairs, France.	Regional (N & S America)
7	1007	Species 2000 additional Common Names for the Catalogue of Life	Species 2000 Common Names	NULL	Froese R.	IfM-GEOMAR	R Froese	Jan 2006	2006-01-11	Common names provide an important entry to species information, but not all Source Databases in the Species 2000 & ITIS Catalogue of Life are able to supply such names for their groups. In this version of the Annual Checklist 14,939 common names have been added by the ENBI cluster project as a direct contribution to the Catalogue of Life. Additional common names have been collected from FAO ASFIS list of marine species and other multilingual dictionaries of organisms.	NULL
8	1008	The Reptile Database	ReptileDB	Reptiles	Uetz P. & Hošek J.	Virginia Commonwealth University, Richmond VA, USA	P Uetz	Dec 2015	2015-12-15	The Reptile Database is a taxonomic database that provides basic information about all living reptile species, such as turtles, snakes, lizards, and crocodiles, as well as tuataras and amphisbaenians, but does not include dinosaurs.	Global
9	1009	ETI WBD: World Biodiversity Database (Euphausiacea)	ETI WBD (Euphausiacea)	Krill	Brinton E.,  Ohman M.D., Townsend A.W., Knight M.D. & Bridgeman A.L. (eds of Euphausiacea)	ETI BioInformatics, Amsterdam, The Netherlands	E Brinton, MD Ohman, AW Townsend, MD Knight & AL Bridgeman	2.1, Nov 2002	2002-11-27	ETI is a non-governmental organization in operational relation with UNESCO, dedicated to improving on a global scale the quantity, quality and accessibility of taxonomic information. The ‘Euphausiids of the World Ocean’ database covers all 86 species of the order Euphausiacea (krill) in the oceans, and was produced at the Scripps Institution of Oceanography. It is part of ETI’s World Biodiversity Database. The full database is published on CD-ROM (ISBN 3-540-14673-3), and includes a fully illustrated multiple-entry key, a picture key, interactive distribution maps, and a special database treating larval development for most species.	Global
10	1010	FishBase	FishBase	Fishes	Froese R. & Pauly D. (eds)	FIN; WorldFish; FAO; IFM-GEOMAR; MNHN; RMCA; NRM; FC-UBC; AUTH; CAFS	R Froese (FishBase Consortium Scientific Coordinator)	Jun 2017	2017-06-16	FishBase is a global information system with extensive information on all species and subspecies of fish. In addition to the data contributed to the Catalogue of Life, the original FishBase database also includes descriptive, biological, ecological, physiological and conservation data and more, and onward links to information in many other databases. Data entry and maintenance is done mainly at the FishBase Information and Research Group, Inc. (FIN) in the Philippines since the 1st January 2011 in collaboration with many colleagues and institutions around the world. The team was previously hosted in WorldFish since the start in 1990 (formerly ICLARM then called WorldFish Center between 2001-2013, and now WorldFish since 2013). FishBase is supported by a Consortium of nine institutions around the world that acts as the Scientific Committee for FIN.  FishBase is funded mainly by the European Commission, and by several other donors. FishBase uses data and information from the Catalog of Fishes (CofF) developed by W.N. Eschmeyer at the California Academy of Science. In particular, FishBase uses CofF as the most complete and up-to-date fish nomenclator, and as a taxonomic authority list in a collaborative work of synchronization of the two databases.	Global
11	1011	FLOW: Fulgoromorpha Lists On the WEB	FLOW	Planthoppers	Bourgoin T.	Muséum National d'Histoire Naturelle, Paris, France	Thierry Bourgoin	May 2017	2017-05-01	FLOW is an on-line database that aims to provide an easy-access synthesys of available biological published primary data on planthoppers (Hemiptera, Fulgoromorpha), a group of major economic importance. It includes information on taxonomy and nomenclature (including fossiles), type depository, bibliography, distribution and associated biological information as host-plants. Since 2009, FLOW provides a dynamic link to MNHN Hemiptera specimen collection (particularly type specimens) and provides photos when already available.	Global
12	1012	Glomeromycota	Glomeromycota	Glomeromycota	Schüßler A.	Department of Biology, Technische Universität Darmstadt, Germany	A Schüßler (custodian)	Jan 2016	2016-01-22	The Glomeromycota are mycorrhiza forming fungi. Mycorrhiza (literally
fungus-root) are mutualistic association of fungi with plant roots and the vast majority of plant species (probably >95%) are associated with mycorrhizal fungi; strictly speaking, plants do not have roots, they have mycorrhiza. The most widely distributed mycorrhizal 'type', both through the plant kingdom (formed by about 80% of all vascular plants) and geographically, is an endomycorrhiza formed by the Glomeromycota and called arbuscular mycorrhiza (AM). In this, hyphae colonize plant cells and produce finely branched structures (the arbuscules). This symbiosis feeds most land plants, the arbuscules facilitating nutrient exchange and water uptake and, by carbohydrate transport to the soil, also represent a relevant terrestrial carbon sink.	Global
14	1014	ICTV/MSL: International Committee on Taxonomy of Viruses / Master Species List	ICTV_MSL	Viruses and subviral agents	Lefkowitz E.J. (ed)	International Committee on the Taxonomy of Viruses (ICTV)	E Lefkowitz	Oct 2015	2015-10-23	The International Union of Microbiological Societies (IUMS) has charged the International Committee on Taxonomy of Viruses (ICTV) with the task of developing, refining, and maintaining a universal virus taxonomy. The goal of this undertaking is to categorize the multitude of known virus into a single classification scheme that reflects their evolutionary relationships, i.e. their individual phylogenies.	Global
